Name;Street;City;ZipCode
Institut für Philosophie;Ebendorferstraße 10;Wien;1010 
Institut für Zivilrecht;Freyung 6;Wien;1010 
Institut für Europäische Ethnologie;Hanuschgasse 3;Wien;1010 
Institut für Europäische und Vergleichende Sprach- und Literaturwissenschaft;Hofburg,Batthyanystiege;Wien;1010
Institut für Theater-, Film- und Medienwissenschaft;Hofburg,Batthyanystiege;Wien;1010
Institut für Arbeits-, Wirtschafts- und Sozialpsychologie;Liebiggasse 5;Wien;1010
Institut für Klinische und Gesundheitspsychologie;Liebiggasse 5;Wien;1010
Institut für LehrerInnenbildung;Liebiggasse 5;Wien;1010
Institut für Psychologie der Kognition, Emotion und Methoden;Liebiggasse 5;Wien;1010
Institut für Byzantinistik und Neogräzistik;Postgasse 7;Wien;1010
Institut für Rechts- und Verfassungsgeschichte;Postgasse 7;Wien;1010
Institut für Kultur- und Sozialanthropologie;Rathausstraße 19;Wien;1010
Institut für Publizistik- und Kommunikationswissenschaft;Rathausstraße 19;Wien;1010
Institut für Staatswissenschaft;Rathausstraße 19;Wien;1010
Dekanat der Rechtswissenschaftlichen Fakultät;Renngasse 6-8;Wien;1010
Institut für Innovation und Digitalisierung im Recht;Schenkenstraße 4;Wien;1010
Evangelisch-Theologische Fakultät;Schenkenstraße 8-10;Wien;1010
Katholisch-Theologische Fakultät;Schottenbastei 10-16;Wien;1010
Rechtswissenschaftliche Fakultät;Schottenbastei 10-16;Wien;1010
Universitätsbibliothek;Teinfaltstraße 8;Wien;1010
Fakultät für Geowissenschaften, Geographie und Astronomie;Universitätsstraße 7;Wien;1010
Institut für Anorganische Chemie;Universitätsstraße 7;Wien;1010
Fakultät für Psychologie;Universitätsstraße 7;Wien;1010
Institut für Sportwissenschaften ;Universitätsstraße 7;Wien;1010
Institut für Politikwissenschaft;Apostelgasse 23;Wien;1030
Institut für Judaistik;Spitalgasse 2, Hof 7 (Campus);Wien;1090
Fakultät für Chemie;Althanstraße 14;Wien;1090
Institut für Sprachwissenschaft;Spitalgasse 2, Hof 8 (Campus);Wien;1090
Fakultät für Lebenswissenschaften;Althanstraße 14;Wien;1090
Fakultät für Pharmazie;Althanstraße 14;Wien;1090
Philologisch-Kulturwissenschaftliche Fakultät;Althanstraße 14;Wien;1090
Fakultät für Physik;Boltzmanngasse 5;Wien;1090
Fakultät für Mathematik;Oskar-Morgenstern-Platz 1;Wien;1090
Institut für Theoretische Chemie;Währinger Straße 7;Wien;1090
Historisch-Kulturwissenschaftliche Fakultät;Porzellangasse 4;Wien;1090
Institut für Staats- und Verwaltungsrecht;Porzellangasse 4;Wien;1090
Fakultät für Philosophie und Bildungswissenschaft;Spitalgasse 2, Hof 1;Wien;1090
Fakultät für Wirtschaftswissenschaften;Spitalgasse 2, Hof 1;Wien;1090
Fakultät für Informatik;Währinger Straße 29;Wien;1090
Fakultät für Sozialwissenschaften;Währinger Straße 29;Wien;1090
